UserName,Name,Enabled,Must Change Password at Logon,Cannot Change Password,Password Never Expires,Reversible Password Encryption,Smartcard Logon Required,Delegation Permitted,Kerberos DES Only,Kerberos RC4,Kerberos AES-128bit,Kerberos AES-256bit,Does Not Require Pre Auth,Never Logged in,Logon Age (days),Password Age (days),Dormant (> 90 days),Password Age (> 180 days),Account Locked Out,Password Expired,Password Not Required,Delegation Type,Delegation Protocol,Delegation Services,Logon Workstations,AdminCount,Primary GroupID,SID,SIDHistory,HasSPN,Description,Title,Department,Company,Manager,Info,Last Logon Date,Password LastSet,Account Expiration Date,Account Expiration (days),Mobile,Email,HomeDirectory,ProfilePath,ScriptPath,UserAccountControl,First Name,Middle Name,Last Name,Country,whenCreated,whenChanged,DistinguishedName,CanonicalName
Administrator,Administrator,True,False,False,True,False,False,True,False,Default,Default,Default,False,False,9,751,False,True,False,False,False,,,,,1,513,S-1-5-21-4178490863-1286169181-2994033663-500,,False,Built-in account for administering the computer/domain,,,,,,2/9/2026 4:13:42 PM,1/29/2024 4:42:07 AM,,,,,,,,66048,,,,,1/28/2024 10:47:37 PM,2/9/2026 4:13:42 PM,"CN=Administrator,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Administrator
Guest,Guest,False,True,False,True,False,False,True,False,Default,Default,Default,False,True,,,False,False,False,False,True,,,,,,514,S-1-5-21-4178490863-1286169181-2994033663-501,,False,Built-in account for guest access to the computer/domain,,,,,,,,,,,,,,,66082,,,,,1/28/2024 10:47:37 PM,1/28/2024 10:47:37 PM,"CN=Guest,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Guest
krbtgt,krbtgt,False,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,1,513,S-1-5-21-4178490863-1286169181-2994033663-502,,True,Key Distribution Center Service Account,,,,,,,1/28/2024 10:48:32 PM,,,,,,,,514,,,,,1/28/2024 10:48:32 PM,1/28/2024 11:03:41 PM,"CN=krbtgt,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/krbtgt
jehanna.alma,Jehanna Alma,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1103,,False,,,,,,,,1/28/2024 11:11:02 PM,,,,,,,,512,Jehanna,,Alma,,1/28/2024 11:11:02 PM,1/28/2024 11:11:02 PM,"CN=Jehanna Alma,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Jehanna Alma
marne.austin,Marne Austin,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1104,,False,Shared User,,,,,,,1/28/2024 11:11:13 PM,,,,,,,,512,Marne,,Austin,,1/28/2024 11:11:02 PM,1/28/2024 11:11:13 PM,"CN=Marne Austin,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Marne Austin
georgie.rubia,Georgie Rubia,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,35,False,False,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1105,,False,,,,,,,,1/14/2026 3:40:31 PM,,,,,,,,512,Georgie,,Rubia,,1/28/2024 11:11:03 PM,1/14/2026 3:40:31 PM,"CN=Georgie Rubia,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Georgie Rubia
darline.karine,Darline Karine,True,False,False,True,False,False,True,False,Default,Default,Default,False,False,2,692,False,True,False,False,False,,,,,1,513,S-1-5-21-4178490863-1286169181-2994033663-1106,,True,Temporary domain admin,,,,,,2/16/2026 12:25:54 PM,3/27/2024 11:54:55 PM,,,,,,,,66048,Darline,,Karine,,1/28/2024 11:11:03 PM,2/16/2026 12:25:54 PM,"CN=Darline Karine,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Darline Karine
mira.lurlene,Mira Lurlene,True,False,False,False,True,False,True,False,Not Supported,Not Supported,Not Supported,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1107,,False,,,,,,,,1/28/2024 11:11:03 PM,,,,,,,,640,Mira,,Lurlene,,1/28/2024 11:11:03 PM,2/13/2024 8:18:14 PM,"CN=Mira Lurlene,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Mira Lurlene
inga.marinna,Inga Marinna,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1108,,False,,,,,,,,1/28/2024 11:11:03 PM,,,,,,,,512,Inga,,Marinna,,1/28/2024 11:11:03 PM,1/28/2024 11:11:03 PM,"CN=Inga Marinna,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Inga Marinna
beatrice.sascha,Beatrice Sascha,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1109,,False,,,,,,,,1/28/2024 11:11:03 PM,,,,,,,,512,Beatrice,,Sascha,,1/28/2024 11:11:03 PM,1/28/2024 11:11:03 PM,"CN=Beatrice Sascha,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Beatrice Sascha
